file_name,pred_roi_ammo,conf_roi_ammo,pred_roi_health,conf_roi_health,pred_roi_armour,conf_roi_armour,roi_ammo_file_name,roi_health_file_name,roi_armour_file_name
172_19_113_65_1742105713504.jpg,100,0.999045933,125,0.999983551,No text detected,0.0,172_19_113_65_1742105713504_ammo.jpg,172_19_113_65_1742105713504_health.jpg,172_19_113_65_1742105713504_armour.jpg
172_19_113_65_1742105713521.jpg,99,0.680103008,125,0.999875358,No text detected,0.0,172_19_113_65_1742105713521_ammo.jpg,172_19_113_65_1742105713521_health.jpg,172_19_113_65_1742105713521_armour.jpg
172_19_113_65_1742105713538.jpg,99,0.742463789,125,0.999875358,No text detected,0.0,172_19_113_65_1742105713538_ammo.jpg,172_19_113_65_1742105713538_health.jpg,172_19_113_65_1742105713538_armour.jpg
172_19_113_65_1742105713554.jpg,99,0.7244703,125,0.999875358,No text detected,0.0,172_19_113_65_1742105713554_ammo.jpg,172_19_113_65_1742105713554_health.jpg,172_19_113_65_1742105713554_armour.jpg
172_19_113_65_1742105713572.jpg,99,0.700787969,125,0.999875358,No text detected,0.0,172_19_113_65_1742105713572_ammo.jpg,172_19_113_65_1742105713572_health.jpg,172_19_113_65_1742105713572_armour.jpg
172_19_113_65_1742105713588.jpg,99,0.662339278,125,0.999875358,No text detected,0.0,172_19_113_65_1742105713588_ammo.jpg,172_19_113_65_1742105713588_health.jpg,172_19_113_65_1742105713588_armour.jpg
172_19_113_65_1742105713604.jpg,99,0.649485968,125,0.999875358,No text detected,0.0,172_19_113_65_1742105713604_ammo.jpg,172_19_113_65_1742105713604_health.jpg,172_19_113_65_1742105713604_armour.jpg
172_19_113_65_1742105713620.jpg,99,0.649485968,125,0.999875358,No text detected,0.0,172_19_113_65_1742105713620_ammo.jpg,172_19_113_65_1742105713620_health.jpg,172_19_113_65_1742105713620_armour.jpg
172_19_113_65_1742105713638.jpg,99,0.697946571,125,0.999875358,No text detected,0.0,172_19_113_65_1742105713638_ammo.jpg,172_19_113_65_1742105713638_health.jpg,172_19_113_65_1742105713638_armour.jpg
172_19_113_65_1742105713655.jpg,99,0.710836186,125,0.999875358,No text detected,0.0,172_19_113_65_1742105713655_ammo.jpg,172_19_113_65_1742105713655_health.jpg,172_19_113_65_1742105713655_armour.jpg
172_19_113_65_1742105713671.jpg,99,0.780219911,125,0.999875358,No text detected,0.0,172_19_113_65_1742105713671_ammo.jpg,172_19_113_65_1742105713671_health.jpg,172_19_113_65_1742105713671_armour.jpg
172_19_113_65_1742105713688.jpg,99,0.644854669,125,0.999895317,No text detected,0.0,172_19_113_65_1742105713688_ammo.jpg,172_19_113_65_1742105713688_health.jpg,172_19_113_65_1742105713688_armour.jpg
