file_name,pred_roi_ammo,conf_roi_ammo,pred_roi_health,conf_roi_health,pred_roi_armour,conf_roi_armour,roi_ammo_file_name,roi_health_file_name,roi_armour_file_name
172_19_113_65_1742106245450.jpg,100,0.8314608601970838,125,0.9996252544772224,No text detected,0.0,172_19_113_65_1742106245450_ammo.jpg,172_19_113_65_1742106245450_health.jpg,172_19_113_65_1742106245450_armour.jpg
172_19_113_65_1742106245467.jpg,100,0.9918157099272704,125,0.9999909838629264,No text detected,0.0,172_19_113_65_1742106245467_ammo.jpg,172_19_113_65_1742106245467_health.jpg,172_19_113_65_1742106245467_armour.jpg
172_19_113_65_1742106245484.jpg,100,0.9052371118668552,125,0.999978595295398,No text detected,0.0,172_19_113_65_1742106245484_ammo.jpg,172_19_113_65_1742106245484_health.jpg,172_19_113_65_1742106245484_armour.jpg
172_19_113_65_1742106245501.jpg,100,0.9390476479351484,125,0.9999503769683435,No text detected,0.0,172_19_113_65_1742106245501_ammo.jpg,172_19_113_65_1742106245501_health.jpg,172_19_113_65_1742106245501_armour.jpg
172_19_113_65_1742106245518.jpg,100,0.7859757345062981,125,0.9999350978211434,No text detected,0.0,172_19_113_65_1742106245518_ammo.jpg,172_19_113_65_1742106245518_health.jpg,172_19_113_65_1742106245518_armour.jpg
172_19_113_65_1742106245535.jpg,100,0.9901858321677772,125,0.9999531987962482,No text detected,0.0,172_19_113_65_1742106245535_ammo.jpg,172_19_113_65_1742106245535_health.jpg,172_19_113_65_1742106245535_armour.jpg
172_19_113_65_1742106245551.jpg,100,0.4490896463394165,125,0.9998794186710284,No text detected,0.0,172_19_113_65_1742106245551_ammo.jpg,172_19_113_65_1742106245551_health.jpg,172_19_113_65_1742106245551_armour.jpg
172_19_113_65_1742106245568.jpg,100,0.99105530767095,125,0.999842184761622,No text detected,0.0,172_19_113_65_1742106245568_ammo.jpg,172_19_113_65_1742106245568_health.jpg,172_19_113_65_1742106245568_armour.jpg
172_19_113_65_1742106245585.jpg,100,0.9906737954349008,125,0.9997821704225116,No text detected,0.0,172_19_113_65_1742106245585_ammo.jpg,172_19_113_65_1742106245585_health.jpg,172_19_113_65_1742106245585_armour.jpg
172_19_113_65_1742106245603.jpg,100,0.9911028777835968,125,0.9997914616016924,No text detected,0.0,172_19_113_65_1742106245603_ammo.jpg,172_19_113_65_1742106245603_health.jpg,172_19_113_65_1742106245603_armour.jpg
172_19_113_65_1742106245620.jpg,100,0.5210921168327332,125,0.999873775072076,No text detected,0.0,172_19_113_65_1742106245620_ammo.jpg,172_19_113_65_1742106245620_health.jpg,172_19_113_65_1742106245620_armour.jpg
172_19_113_65_1742106245636.jpg,100,0.7731165421252503,125,0.9998363347188046,No text detected,0.0,172_19_113_65_1742106245636_ammo.jpg,172_19_113_65_1742106245636_health.jpg,172_19_113_65_1742106245636_armour.jpg
172_19_113_65_1742106245653.jpg,100,0.8277910911710865,125,0.9998260799489312,No text detected,0.0,172_19_113_65_1742106245653_ammo.jpg,172_19_113_65_1742106245653_health.jpg,172_19_113_65_1742106245653_armour.jpg
172_19_113_65_1742106245670.jpg,100,0.5434679388999939,125,0.9997987569060456,No text detected,0.0,172_19_113_65_1742106245670_ammo.jpg,172_19_113_65_1742106245670_health.jpg,172_19_113_65_1742106245670_armour.jpg
172_19_113_65_1742106245687.jpg,100,0.8791421400284858,125,0.9997951092529777,No text detected,0.0,172_19_113_65_1742106245687_ammo.jpg,172_19_113_65_1742106245687_health.jpg,172_19_113_65_1742106245687_armour.jpg
172_19_113_65_1742106245704.jpg,100,0.5493622422218323,125,0.9997791421888336,No text detected,0.0,172_19_113_65_1742106245704_ammo.jpg,172_19_113_65_1742106245704_health.jpg,172_19_113_65_1742106245704_armour.jpg
172_19_113_65_1742106245720.jpg,100,0.9130037455998756,125,0.9998193352086424,No text detected,0.0,172_19_113_65_1742106245720_ammo.jpg,172_19_113_65_1742106245720_health.jpg,172_19_113_65_1742106245720_armour.jpg
